,gene,pvalue,pvaladj_BH,reject_BH,pvaladj_B,reject_B
0,ENSG00000000003,0.1335493770306338,0.19562612949924033,False,1796.2391210620247,False
1,ENSG00000000419,0.05931931391060382,0.09931471243971629,False,797.8447720976213,False
2,ENSG00000000457,0.8002216565124025,0.836609504865279,False,10762.981280091813,False
3,ENSG00000000460,1.1994111018745816e-10,1.4585966835635733e-09,True,1.6132079320213122e-06,True
4,ENSG00000001036,0.0014537764393949227,0.004224085787397216,True,19.55329310986171,False
5,ENSG00000001084,0.5627417838549263,0.6308974737725064,False,7568.876992848759,False
6,ENSG00000001167,0.5867953627826825,0.6531279071025389,False,7892.39762942708,False
7,ENSG00000001460,2.9963036663093737e-12,4.691534844221313e-11,True,4.0300284311861075e-08,True
8,ENSG00000001461,3.131299232117551e-08,2.630604289317993e-07,True,0.00042115974671981066,True
9,ENSG00000001497,4.787090063604765e-05,0.00020843755699412135,True,0.6438636135548409,False
10,ENSG00000001561,1.2577233746566658e-05,6.237603019591502e-05,True,0.16916379389132155,False
11,ENSG00000001629,0.3150138572724096,0.3955687032316225,False,4236.9363803139095,False
12,ENSG00000001630,2.8981475477966015e-06,1.6608472312681845e-05,True,0.03898008451786429,False
13,ENSG00000001631,0.0326898512038711,0.06038710324022336,False,439.6784986920663,False
14,ENSG00000002016,2.835491658757906e-06,1.632592586057099e-05,True,0.03813736281029383,False
15,ENSG00000002330,0.11401587311098645,0.17149558189921357,False,1533.5134933427678,False
16,ENSG00000002549,0.9116430343148418,0.9280588100020253,False,12261.598811534623,False
17,ENSG00000002586,0.08116962607962228,0.1289700497071376,False,1091.7314707709197,False
18,ENSG00000002746,0.1441123080539019,0.2083980801338545,False,1938.3105433249807,False
19,ENSG00000002822,0.07875271741383041,0.1257836419921647,False,1059.224049216019,False
20,ENSG00000002834,2.595440781054157e-08,2.210809278352021e-07,True,0.00034908678505178413,True
21,ENSG00000002919,1.598529797509463e-05,7.773038964751367e-05,True,0.2150022577650228,False
22,ENSG00000002933,0.2929522075311421,0.3728432240058537,False,3940.2071912938613,False
23,ENSG00000003056,0.6109614791787078,0.6760536318349337,False,8217.43189495362,False
24,ENSG00000003096,0.007614726304050023,0.017667426046139866,False,102.4180687894728,False
25,ENSG00000003137,2.8013459272286587e-06,1.615699087531109e-05,True,0.03767810272122546,False
26,ENSG00000003147,0.2730328495951706,0.35165104156420995,False,3672.2918270550445,False
27,ENSG00000003249,0.9065683411262809,0.924368447285913,False,12193.344188148478,False
28,ENSG00000003393,0.03247517306160047,0.06006477965876325,False,436.79107767852634,False
29,ENSG00000003400,0.1584649459944812,0.22523021490286083,False,2131.353523625772,False
30,ENSG00000003402,8.903634413504027e-18,2.597698109796728e-16,True,1.1975388286162916e-13,True
31,ENSG00000003436,0.12759166954241968,0.18847973150417846,False,1716.1079553455447,False
32,ENSG00000003509,0.8761354170187791,0.8989260324130428,False,11784.021358902579,False
33,ENSG00000003756,0.009565791912532613,0.021429030850027255,False,128.65990122356365,False
34,ENSG00000003987,0.9723919076251731,0.9777714681189129,False,13078.671157558578,False
35,ENSG00000003989,0.9826673894609756,0.9863569900261953,False,13216.876388250123,False
36,ENSG00000004059,0.1912618440468219,0.2630070342940144,False,2572.4718024297545,False
37,ENSG00000004139,0.01639339924586962,0.03378140337933911,False,220.49121985694637,False
38,ENSG00000004142,0.8364074413125967,0.866159538470467,False,11249.680085654425,False
39,ENSG00000004399,0.00094206870272017,0.0028849781538220144,True,12.670824051586287,False
40,ENSG00000004455,0.0023706751183707074,0.006451958790385677,True,31.885580342086016,False
41,ENSG00000004478,4.464872504785845e-10,4.971236356735895e-09,True,6.005253518936962e-06,True
42,ENSG00000004487,0.008721263910053081,0.01982105434102973,False,117.30099959021395,False
43,ENSG00000004534,0.047554427891821675,0.08259786868899031,False,639.6070551450015,False
44,ENSG00000004660,1.514516111512529e-10,1.8119767700647489e-09,True,2.0370241699843514e-06,True
45,ENSG00000004700,1.317321811928026e-05,6.513962636188216e-05,True,0.1771797837043195,False
46,ENSG00000004766,0.07361972895462927,0.11894118371648812,False,990.1853544397637,False
47,ENSG00000004777,1.1492155415859508e-13,2.192475040330644e-12,True,1.545694903433104e-09,True
48,ENSG00000004779,0.002755584515200345,0.007375644125262615,True,37.06261172944464,False
49,ENSG00000004838,0.48238200048747437,0.5580668302443724,False,6488.03790655653,False
50,ENSG00000004864,0.0010924038489367155,0.0032869869727514146,True,14.692831768198824,False
51,ENSG00000004866,0.11064880127240047,0.16712255778930782,False,1488.2263771137864,False
52,ENSG00000004897,4.0332494818172453e-16,9.91722221763107e-15,True,5.424720553044195e-12,True
53,ENSG00000004961,0.14381379679717604,0.2080335090258139,False,1934.2955669220178,False
54,ENSG00000004975,0.000979800919587267,0.002988281716201529,True,13.178322368448741,False
